,Bassin,Cycle,Lots
1324,B33,22,1
1325,MF,3,1
1326,B02,48,1
1327,B34,26,1
1328,B49,5,1
1329,B54,17,1
1330,B01,46,2
1331,B39,19,1
1332,B53,14,1
1333,B01,46,3
1334,B26,31,1
1335,B25,24,1
1336,B41,20,1
1337,B32,22,1
1338,B49,5,2
1339,B44,19,1
1340,B35,32,1
1341,B09,3,1
1342,B09,3,2
1343,B47,9,1
1344,B36,30,1
1345,B58,14,1
1346,B45,16,3
1347,B08,34,1
1348,B29,24,2
1349,B49,5,3
1350,B40,18,1
1351,B07,27,2
1352,B04,30,2
1353,B30,23,1
1354,B57,13,1
1355,B57,13,2
1356,B24,23,1
1357,B42,20,1
1358,B03,53,1
1359,B23,19,1
1360,AD1,22,1
1361,LAG,5,1
1362,B21,22,1
1363,B51,25,1
1364,B05,29,1
1365,B22,21,1
1366,B28,20,1
1367,B24,23,2
1368,B11,29,1
1369,B19,23,1
1370,B43,17,1
1371,B31,31,1
1372,B03,54,1
1373,B03,54,2
1374,B03,54,3
1375,B22,21,2
1376,A03,21,1
1377,A02,21,1
1378,B10,27,1
