'date';'u5';'u6';'u8';'u10';'u12';'u15';'u16/20';'u21/25';'peladas'
19/3/2008;0,00;0,00;10,00;14,00;25,00;0,00;130,00;0,00;5,00
24/3/2008;0,00;0,00;10,00;7,50;35,00;0,00;130,00;0,00;9,00
27/3/2008;0,00;0,00;5,00;2,00;20,00;0,00;231,00;0,00;8,00
31/3/2008;0,00;0,00;10,00;10,00;27,00;0,00;231,00;0,00;14,00
3/4/2008;0,00;0,00;10,00;5,00;34,00;0,00;162,00;0,00;10,00
7/4/2008;0,00;0,00;13,00;10,00;20,00;0,00;133,00;0,00;7,00
10/4/2008;0,00;0,00;22,00;25,00;68,00;0,00;190,00;0,00;14,00
14/4/2008;0,00;0,00;25,00;10,00;35,00;0,00;122,00;0,00;5,50
21/4/2008;0,00;0,00;1,50;4,50;10,00;0,00;95,00;0,00;5,00
24/4/2008;0,00;0,00;25,00;15,00;31,50;0,00;100,00;0,00;8,00
28/4/2008;0,00;0,00;8,00;5,00;15,00;0,00;80,00;0,00;4,00
30/4/2008;0,00;0,00;5,00;5,00;14,00;0,00;80,00;0,00;7,00
1/5/2008;0,00;0,00;1,00;5,00;25,00;0,00;88,00;0,00;3,00
6/5/2008;0,00;0,00;0,00;5,00;12,00;0,00;123,50;0,00;6,00
7/5/2008;0,00;0,00;0,00;2,00;0,00;0,00;15,00;0,00;1,50
12/5/2008;0,00;0,00;20,00;16,00;20,00;0,00;114,00;0,00;39,00
13/5/2008;0,00;0,00;0,00;0,00;11,50;0,00;90,00;0,00;1,50
8/5/2008;0,00;0,00;0,00;0,00;5,00;0,00;23,00;0,00;2,00
9/6/2008;0,00;0,00;21,50;16,50;33,50;0,00;142,50;0,00;7,00
10/6/2008;0,00;0,00;1,50;0,00;15,00;0,00;50,00;0,00;1,00
16/6/2008;0,00;0,00;2,50;20,00;90,00;0,00;206,00;0,00;11,00
17/6/2008;0,00;0,00;7,00;10,00;15,00;0,00;37,00;0,00;5,00
18/6/2008;0,00;0,00;13,50;15,00;10,00;0,00;30,00;0,00;3,00
23/6/2008;0,00;0,00;20,00;11,00;30,00;0,00;124,00;0,00;4,50
26/6/2008;0,00;0,00;15,00;5,00;10,00;0,00;45,00;0,00;4,00
30/6/2008;0,00;0,00;5,00;15,00;50,00;0,00;138,50;0,00;7,00
2/7/2008;0,00;0,00;14,00;5,00;7,00;0,00;37,00;0,00;2,00
7/7/2008;0,00;0,00;2,00;13,50;35,00;0,00;153,00;0,00;21,00
9/7/2008;0,00;0,00;0,00;2,50;7,50;0,00;57,00;0,00;1,00
14/7/2008;0,00;0,00;22,00;20,00;27,50;0,00;119,00;0,00;26,00
16/7/2008;0,00;0,00;15,00;15,00;35,00;0,00;144,00;0,00;7,00
21/7/2008;0,00;0,00;0,00;13,00;26,50;0,00;175,00;0,00;5,00
23/7/2008;0,00;0,00;5,00;5,00;0,00;0,00;27,50;0,00;1,00
28/7/2008;0,00;0,00;13,50;12,00;12,00;0,00;117,50;0,00;8,00
29/7/2008;0,00;0,00;0,00;4,00;2,50;0,00;30,00;0,00;3,00
30/7/2008;0,00;0,00;5,00;3,50;7,50;0,00;35,00;0,00;3,00
4/8/2008;0,00;0,00;0,00;3,00;14,00;0,00;70,00;0,00;3,00
11/8/2008;0,00;0,00;7,00;6,50;25,00;0,00;155,00;0,00;5,00
12/8/2008;0,00;0,00;0,00;3,50;5,00;0,00;39,00;0,00;1,00
13/8/2008;0,00;0,00;0,00;4,50;5,00;0,00;48,50;0,00;3,00
18/8/2008;0,00;0,00;1,00;0,00;5,00;0,00;87,00;0,00;2,00
25/8/2008;0,00;0,00;5,00;0,00;12,00;0,00;84,00;0,00;1,00
26/8/2008;0,00;0,00;1,50;0,00;0,00;0,00;8,50;0,00;3,50
1/9/2008;0,00;0,00;0,00;0,00;11,50;0,00;38,50;0,00;2,00
2/9/2008;0,00;0,00;0,00;2,50;2,00;0,00;31,50;0,00;0,75
8/9/2008;0,00;0,00;3,00;0,00;5,00;0,00;32,00;0,00;1,00
15/9/2008;0,00;0,00;0,00;1,75;10,00;0,00;30,00;0,00;2,50
17/9/2008;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00
22/9/2008;0,00;0,00;0,00;0,00;7,50;0,00;45,00;0,00;1,00
29/9/2008;0,00;0,00;0,00;0,00;12,50;0,00;11,00;0,00;0,68
30/9/2008;0,00;0,00;0,00;0,00;8,00;0,00;11,00;0,00;0,00
25/9/2008;0,00;0,00;0,00;0,00;5,00;0,00;7,50;0,00;0,31
6/10/2008;0,00;0,00;0,50;0,00;3,50;0,00;6,00;0,00;0,50
7/10/2008;0,00;0,00;0,00;0,00;5,00;0,00;12,50;0,00;1,50
8/10/2008;0,00;0,00;0,00;0,00;3,00;0,00;8,50;0,00;0,75
13/10/2008;0,00;0,00;0,00;0,00;3,50;0,00;1,50;0,00;0,31
14/10/2008;0,00;0,00;0,00;5,00;10,00;0,00;28,50;0,00;1,50
15/10/2008;0,00;0,00;0,00;3,50;2,00;0,00;5,00;0,00;0,31
20/10/2008;0,00;0,00;0,00;0,00;4,50;4,00;0,00;0,00;0,00
21/10/2008;0,00;0,00;0,00;0,00;5,00;5,00;11,00;0,00;1,75
22/10/2008;0,00;0,00;0,00;0,00;5,00;0,00;11,50;0,00;1,00
27/10/2008;0,00;0,00;0,00;0,00;3,00;0,00;2,00;0,00;1,00
28/10/2008;0,00;0,00;0,00;4,00;5,00;0,00;11,50;0,00;1,75
29/10/2008;0,00;0,00;0,00;0,00;0,00;0,00;3,50;0,00;0,00
3/11/2008;0,00;0,00;0,00;2,50;5,00;0,00;5,00;0,00;1,00
4/11/2008;0,00;0,00;0,00;0,00;6,50;0,00;13,00;0,00;1,00
11/10/2008;0,00;0,00;3,20;4,40;1,40;0,00;5,00;0,00;2,40
5/11/2008;0,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,31
11/11/2008;0,00;0,00;1,00;2,50;1,00;0,00;6,50;0,00;1,50
12/11/2008;0,00;0,00;0,00;0,00;1,00;0,00;0,90;0,00;0,00
17/11/2008;0,00;0,00;0,00;4,00;5,00;0,00;6,00;0,00;2,00
18/11/2008;0,00;0,00;0,00;5,00;10,00;0,00;15,00;0,00;3,31
19/11/2008;0,00;0,00;5,00;10,00;9,37;0,00;0,00;0,00;1,00
24/11/2008;0,00;0,00;0,00;5,00;3,60;0,00;5,00;0,00;2,00
25/11/2008;0,00;0,00;5,00;0,00;5,00;0,00;13,40;0,00;2,60
26/11/2008;0,00;0,00;0,00;3,00;0,00;0,00;4,00;0,00;0,60
1/12/2008;0,00;0,00;0,00;5,00;7,50;0,00;7,00;0,00;2,30
2/12/2008;0,00;0,00;0,00;5,00;12,00;0,00;22,80;0,00;3,00
3/12/2008;0,00;0,00;5,00;0,00;4,60;0,00;5,00;0,00;0,00
8/12/2008;0,00;0,00;0,00;5,00;8,50;0,00;10,50;0,00;2,12
10/12/2008;0,00;0,00;4,37;0,00;3,62;0,00;8,25;0,00;1,37
9/12/2008;0,00;0,00;2,62;0,00;5,00;0,00;10,00;0,00;1,62
15/12/2008;0,00;0,00;0,00;10,00;8,00;0,00;17,60;0,00;1,00
16/12/2008;0,00;0,00;7,40;9,00;12,00;0,00;81,60;0,00;3,00
17/12/2008;0,00;0,00;0,00;9,43;10,00;0,00;16,31;0,00;2,50
22/12/2008;0,00;0,00;5,00;9,60;12,80;0,00;54,00;0,00;2,80
26/12/2008;0,00;0,00;0,00;10,00;4,62;0,00;63,37;0,00;3,62
29/12/2008;0,00;0,00;0,00;10,00;5,00;0,00;12,50;0,00;2,00
30/12/2008;0,00;0,00;0,00;7,00;6,50;0,00;22,50;0,00;3,00
2/1/2009;0,00;0,00;5,00;5,00;5,00;0,00;70,00;0,00;7,00
3/1/2009;0,00;0,00;0,00;0,00;1,00;0,00;9,70;0,00;0,50
6/1/2009;5,00;0,00;0,00;5,00;3,60;0,00;19,40;0,00;2,00
7/1/2009;0,00;0,00;5,00;1,40;5,00;0,00;26,40;0,00;3,00
12/1/2009;0,00;0,00;5,00;5,00;9,00;0,00;8,00;0,00;3,00
13/1/2009;0,00;0,00;8,50;8,00;9,00;0,00;85,00;0,00;4,60
14/1/2009;0,00;0,00;2,50;0,80;1,00;0,00;7,40;0,00;0,00
19/1/2009;0,00;0,00;5,00;7,00;8,50;0,00;37,00;0,00;2,50
20/1/2009;0,00;0,00;5,00;5,00;9,00;0,00;0,00;0,00;1,00
20/1/2009;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
27/1/2009;0,00;0,00;12,50;5,00;7,00;0,00;0,00;0,00;2,25
2/2/2009;0,00;0,00;6,30;5,00;5,00;0,00;33,60;0,00;1,80
3/2/2009;0,00;0,00;10,00;5,00;5,00;0,00;0,00;0,00;2,00
9/2/2009;0,00;0,00;4,90;5,60;5,00;0,00;52,00;0,00;4,50
10/2/2009;0,00;0,00;2,90;3,00;1,70;0,00;0,00;0,00;1,00
16/2/2009;0,00;0,00;2,00;2,60;6,60;0,00;65,00;0,00;4,50
17/2/2009;0,00;0,00;5,00;0,00;3,40;0,00;30,00;0,00;2,00
23/2/2009;0,00;0,00;5,00;13,50;12,00;0,00;70,00;0,00;5,50
25/2/2009;13,50;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00
2/3/2009;0,00;0,00;3,75;4,50;26,90;0,00;106,60;0,00;3,90
3/3/2009;0,00;0,00;3,50;0,00;2,00;0,00;11,50;0,00;0,60
9/3/2009;0,00;0,00;17,30;2,10;4,25;0,00;33,30;0,00;3,00
10/3/2009;0,00;0,00;10,00;3,00;5,60;0,00;98,50;0,00;7,20
16/3/2009;0,00;0,00;1,30;2,60;5,00;0,00;77,00;0,00;2,00
17/3/2009;0,00;0,00;0,00;0,00;1,00;0,00;3,90;0,00;0,00
23/3/2009;0,00;0,00;4,00;0,00;2,00;0,00;11,50;0,00;2,30
